date,hour,Average Wait Time,Max WaitTime
10/8/2019,1700 - 1800,24,62
10/8/2019,1800 - 1900,12,32
10/8/2019,1900 - 2000,19,55
10/8/2019,2000 - 2100,12,39
10/8/2019,2100 - 2200,5,14
10/8/2019,2200 - 2300,4,19
10/8/2019,0500 - 0600,15,32
10/8/2019,0600 - 0700,15,32
10/8/2019,0700 - 0800,11,18
10/8/2019,0800 - 0900,8,22
10/8/2019,0900 - 1000,9,26
10/8/2019,1000 - 1100,10,34
10/8/2019,1100 - 1200,14,50
10/8/2019,1200 - 1300,15,38
10/8/2019,1300 - 1400,7,21
10/8/2019,1400 - 1500,7,27
10/8/2019,1500 - 1600,10,38
10/8/2019,1600 - 1700,16,56
10/8/2019,1900 - 2000,26,76
10/8/2019,2000 - 2100,33,58
10/8/2019,2100 - 2200,25,50
10/9/2019,0000 - 0100,7,34
10/9/2019,0900 - 1000,7,19
10/9/2019,1000 - 1100,15,38
10/9/2019,1100 - 1200,17,78
10/9/2019,1200 - 1300,13,61
10/9/2019,1300 - 1400,12,55
10/9/2019,1400 - 1500,14,63
10/9/2019,1500 - 1600,13,33
10/9/2019,1600 - 1700,7,32
10/9/2019,1700 - 1800,11,27
10/9/2019,1800 - 1900,18,44
10/9/2019,1900 - 2000,24,70
10/9/2019,2000 - 2100,14,38
10/9/2019,2100 - 2200,7,22
10/9/2019,2300 - 0000,4,11
10/9/2019,0600 - 0700,9,59
10/9/2019,0700 - 0800,11,29
10/9/2019,0800 - 0900,7,19
10/9/2019,0900 - 1000,11,31
10/9/2019,1000 - 1100,12,34
10/9/2019,1100 - 1200,27,81
10/9/2019,1200 - 1300,24,57
10/9/2019,1300 - 1400,7,21
10/9/2019,1400 - 1500,11,26
10/9/2019,1500 - 1600,13,36
10/9/2019,1600 - 1700,14,60
10/9/2019,1700 - 1800,20,43
10/9/2019,1800 - 1900,12,36
10/9/2019,1900 - 2000,8,29
10/9/2019,2000 - 2100,11,43
10/9/2019,2100 - 2200,16,24
10/10/2019,0000 - 0100,6,36
10/10/2019,0900 - 1000,12,33
10/10/2019,1000 - 1100,12,30
10/10/2019,1100 - 1200,12,61
10/10/2019,1200 - 1300,13,47
10/10/2019,1300 - 1400,16,77
10/10/2019,1400 - 1500,15,97
10/10/2019,1600 - 1700,11,24
10/10/2019,1700 - 1800,13,63
10/10/2019,1800 - 1900,13,60
10/10/2019,1900 - 2000,23,65
10/10/2019,2000 - 2100,14,48
10/10/2019,2100 - 2200,7,27
10/10/2019,2200 - 2300,5,11
10/10/2019,0500 - 0600,34,51
10/10/2019,0600 - 0700,24,52
10/10/2019,0700 - 0800,21,36
10/10/2019,0800 - 0900,12,33
10/10/2019,0900 - 1000,15,40
10/10/2019,1000 - 1100,14,46
10/10/2019,1100 - 1200,22,44
10/10/2019,1200 - 1300,23,96
10/10/2019,1300 - 1400,10,24
10/10/2019,1400 - 1500,22,53
10/10/2019,1500 - 1600,14,31
10/10/2019,1600 - 1700,24,66
10/10/2019,1700 - 1800,9,19
10/10/2019,1800 - 1900,17,26
10/10/2019,1900 - 2000,8,20
10/10/2019,2000 - 2100,17,43
10/10/2019,2100 - 2200,12,22
10/11/2019,0000 - 0100,15,27
10/11/2019,0100 - 0200,7,21
10/11/2019,0900 - 1000,9,29
10/11/2019,1000 - 1100,12,27
10/11/2019,1100 - 1200,15,78
10/11/2019,1200 - 1300,11,76
10/11/2019,1300 - 1400,8,46
10/11/2019,1400 - 1500,12,53
10/11/2019,1600 - 1700,13,35
10/11/2019,1700 - 1800,20,52
10/11/2019,1900 - 2000,16,55
10/11/2019,2000 - 2100,19,62
10/11/2019,2200 - 2300,5,26
10/11/2019,2300 - 0000,6,16
10/11/2019,0500 - 0600,12,32
10/11/2019,0600 - 0700,17,37
10/11/2019,0700 - 0800,13,71
10/11/2019,0800 - 0900,15,54
10/11/2019,0900 - 1000,9,26
10/11/2019,1000 - 1100,8,23
10/11/2019,1100 - 1200,8,24
10/11/2019,1200 - 1300,17,52
10/11/2019,1300 - 1400,11,37
10/11/2019,1400 - 1500,8,34
10/11/2019,1500 - 1600,11,40
10/11/2019,1600 - 1700,24,71
10/11/2019,1700 - 1800,13,62
10/11/2019,1800 - 1900,14,34
10/11/2019,1900 - 2000,5,11
10/11/2019,2000 - 2100,11,47
10/11/2019,2100 - 2200,15,38
10/12/2019,0100 - 0200,6,21
10/12/2019,0900 - 1000,8,41
10/12/2019,1000 - 1100,13,33
10/12/2019,1100 - 1200,10,29
10/12/2019,1200 - 1300,14,64
10/12/2019,1400 - 1500,20,81
10/12/2019,1500 - 1600,9,53
10/12/2019,1600 - 1700,7,17
10/12/2019,1700 - 1800,11,33
10/12/2019,1800 - 1900,15,36
10/12/2019,1900 - 2000,8,21
10/12/2019,2000 - 2100,23,58
10/12/2019,2100 - 2200,9,25
10/12/2019,2200 - 2300,6,32
10/12/2019,0500 - 0600,14,39
10/12/2019,0600 - 0700,15,37
10/12/2019,0700 - 0800,16,76
10/12/2019,0800 - 0900,23,48
10/12/2019,0900 - 1000,20,44
10/12/2019,1000 - 1100,18,48
10/12/2019,1100 - 1200,13,42
10/12/2019,1200 - 1300,16,49
10/12/2019,1300 - 1400,11,24
10/12/2019,1400 - 1500,10,32
10/12/2019,1500 - 1600,9,30
10/12/2019,1600 - 1700,18,50
10/12/2019,1700 - 1800,11,31
10/12/2019,1900 - 2000,10,25
10/12/2019,2000 - 2100,11,24
10/12/2019,2100 - 2200,9,19
10/13/2019,0000 - 0100,16,39
10/13/2019,0900 - 1000,14,39
10/13/2019,1000 - 1100,13,36
10/13/2019,1100 - 1200,14,56
10/13/2019,1200 - 1300,12,46
10/13/2019,1300 - 1400,12,31
10/13/2019,1400 - 1500,23,88
10/13/2019,1500 - 1600,10,30
10/13/2019,1600 - 1700,9,25
10/13/2019,1700 - 1800,11,27
10/13/2019,1800 - 1900,14,33
10/13/2019,1900 - 2000,14,46
10/13/2019,2000 - 2100,12,30
10/13/2019,2100 - 2200,8,41
10/13/2019,0500 - 0600,36,77
10/13/2019,0600 - 0700,24,60
10/13/2019,0700 - 0800,15,36
10/13/2019,0800 - 0900,10,28
10/13/2019,0900 - 1000,11,37
10/13/2019,1100 - 1200,12,33
10/13/2019,1200 - 1300,25,51
