date,hour,Average Wait Time,Max WaitTime,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
10/5/2019,0000 - 0100,32,108,88,39,32,24,20,17,0,10,230,1,13
10/5/2019,0500 - 0600,37,77,0,84,100,28,22,0,0,8,242,1,12
10/5/2019,0600 - 0700,35,133,328,91,165,127,112,40,9,27,899,4,15
10/5/2019,0700 - 0800,76,160,42,29,67,2,27,48,82,8,305,1,17
10/5/2019,0800 - 0900,25,103,351,132,51,0,82,22,0,22,660,4,15
10/5/2019,0900 - 1000,21,79,219,109,15,33,41,0,0,14,431,2,17
10/5/2019,1000 - 1100,21,79,412,179,66,101,43,0,0,31,832,4,18
10/5/2019,1100 - 1200,29,84,296,174,213,78,102,0,0,28,891,4,17
10/5/2019,1200 - 1300,26,68,168,234,129,59,26,0,0,20,636,2,19
10/5/2019,1300 - 1400,21,59,148,109,13,56,0,0,0,8,334,1,19
10/5/2019,1400 - 1500,17,65,474,252,76,33,12,0,0,30,877,4,17
10/5/2019,1500 - 1600,26,71,221,156,89,71,50,0,0,17,604,2,22
10/5/2019,1600 - 1700,21,67,587,428,121,142,27,0,0,46,1351,7,23
10/5/2019,1700 - 1800,5,9,94,0,0,0,0,0,0,2,96,1,12
10/5/2019,1800 - 1900,29,40,0,155,118,0,0,0,0,5,278,1,15
10/5/2019,1900 - 2000,12,43,187,65,4,0,0,0,0,8,264,1,16
10/5/2019,2000 - 2100,18,57,306,316,76,37,0,0,0,23,758,4,16
10/5/2019,2100 - 2200,8,27,268,34,0,0,0,0,0,12,314,2,13
10/5/2019,2200 - 2300,7,20,246,21,0,0,0,0,0,14,281,1,15
10/6/2019,0000 - 0100,21,37,17,68,11,0,0,0,0,3,99,1,7
10/6/2019,0900 - 1000,15,36,173,87,41,0,0,0,0,12,313,2,21
10/6/2019,1000 - 1100,16,43,204,132,28,0,0,0,0,9,373,2,19
10/6/2019,1100 - 1200,24,64,321,201,134,111,8,0,0,23,798,3,19
10/6/2019,1200 - 1300,18,60,241,108,13,45,0,0,0,8,415,2,17
10/6/2019,1300 - 1400,16,34,253,258,16,0,0,0,0,16,543,2,21
10/6/2019,1400 - 1500,25,66,551,176,148,216,54,0,0,40,1185,4,22
10/6/2019,1500 - 1600,11,32,290,124,6,0,0,0,0,12,432,3,21
10/6/2019,1600 - 1700,14,42,695,236,67,0,0,0,0,29,1027,4,20
10/6/2019,1700 - 1800,17,47,287,192,58,7,0,0,0,14,558,2,14
10/6/2019,1800 - 1900,20,64,249,155,49,39,4,0,0,11,507,2,13
10/6/2019,1900 - 2000,16,48,283,165,57,2,0,0,0,21,528,3,15
10/6/2019,2000 - 2100,16,67,504,265,63,16,9,0,0,34,891,3,16
10/6/2019,2200 - 2300,7,25,121,11,0,0,0,0,0,8,140,1,6
10/6/2019,2300 - 0000,5,18,93,6,0,0,0,0,0,6,105,1,7
10/6/2019,0600 - 0700,19,58,392,167,84,70,0,0,0,20,733,3,11
10/6/2019,0800 - 0900,10,49,496,119,18,2,0,0,0,20,655,4,19
10/6/2019,0900 - 1000,15,35,349,275,26,0,0,0,0,16,666,3,16
10/6/2019,1000 - 1100,14,37,287,161,35,0,0,0,0,11,494,2,17
10/6/2019,1100 - 1200,15,57,569,234,66,32,0,0,0,30,931,4,16
10/6/2019,1300 - 1400,9,25,401,51,0,0,0,0,0,13,465,3,18
10/6/2019,1400 - 1500,16,45,325,213,67,0,0,0,0,21,626,3,18
10/6/2019,1500 - 1600,21,69,643,619,172,110,33,0,0,47,1624,5,25
10/6/2019,1600 - 1700,14,44,549,198,60,0,0,0,0,24,831,5,23
10/6/2019,1700 - 1800,26,43,0,180,65,0,0,0,0,7,252,1,17
10/6/2019,1900 - 2000,9,37,666,97,11,0,0,0,0,29,803,3,18
10/6/2019,2000 - 2100,9,29,454,117,0,0,0,0,0,30,601,4,17
10/6/2019,2100 - 2200,17,50,333,182,86,30,0,0,0,34,665,3,18
10/7/2019,0000 - 0100,7,22,104,17,0,0,0,0,0,7,128,1,5
