date,hour,Average Wait Time,Max WaitTime,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
11/23/2019,0900 - 1000,38,83,36,3,4,4,31,0,0,3,81,1,13
11/23/2019,1000 - 1100,11,25,170,45,0,0,0,0,0,5,220,2,16
11/23/2019,1100 - 1200,17,74,389,182,82,22,18,0,0,17,710,4,13
11/23/2019,1200 - 1300,17,63,427,156,173,23,1,0,0,27,807,4,16
11/23/2019,1300 - 1400,23,64,163,52,109,39,6,0,0,12,381,2,11
11/23/2019,1400 - 1500,32,91,278,163,176,101,122,4,0,25,869,5,19
11/23/2019,1500 - 1600,15,52,361,46,103,13,0,0,0,17,540,3,19
11/23/2019,1600 - 1700,20,59,319,192,111,50,0,0,0,22,694,3,17
11/23/2019,1700 - 1800,13,31,319,115,4,0,0,0,0,11,449,2,15
11/23/2019,1800 - 1900,13,46,445,233,15,2,0,0,0,18,713,4,17
11/23/2019,1900 - 2000,15,32,307,240,7,0,0,0,0,18,572,2,14
11/23/2019,2000 - 2100,11,28,479,194,0,0,0,0,0,16,689,4,14
11/24/2019,0900 - 1000,16,47,383,139,101,7,0,0,0,25,655,3,17
11/24/2019,1000 - 1100,12,26,148,72,0,0,0,0,0,9,229,2,15
11/24/2019,1100 - 1200,11,24,261,78,0,0,0,0,0,13,352,2,17
11/24/2019,1200 - 1300,19,61,342,186,85,40,3,0,0,19,675,3,21
11/24/2019,1300 - 1400,19,57,212,130,42,22,0,0,0,14,420,2,19
11/24/2019,1400 - 1500,9,23,284,40,0,0,0,0,0,10,334,2,20
11/24/2019,1500 - 1600,6,16,208,3,0,0,0,0,0,12,223,1,20
11/24/2019,1600 - 1700,24,38,1,3,2,0,0,0,0,0,6,1,1
11/24/2019,1700 - 1800,19,59,494,542,130,44,0,0,0,39,1249,6,18
11/24/2019,1800 - 1900,19,46,150,153,45,3,0,0,0,11,362,2,15
11/24/2019,1900 - 2000,16,48,390,247,82,4,0,0,0,23,746,4,16
11/24/2019,2000 - 2100,9,19,113,16,0,0,0,0,0,3,132,1,4
11/24/2019,2100 - 2200,15,49,310,166,34,3,0,0,0,15,528,3,7
11/24/2019,2200 - 2300,3,8,30,0,0,0,0,0,0,2,32,1,4
11/24/2019,2300 - 0000,5,14,100,0,0,0,0,0,0,7,107,1,5
11/24/2019,0500 - 0600,8,23,148,37,0,0,0,0,0,10,195,1,8
11/24/2019,0600 - 0700,26,108,569,126,236,105,93,17,0,38,1184,5,14
11/24/2019,0700 - 0800,31,114,161,123,39,11,49,28,0,21,432,2,13
11/24/2019,0800 - 0900,23,102,405,204,81,26,58,25,0,26,825,5,15
11/24/2019,0900 - 1000,19,57,84,49,6,24,0,0,0,4,167,1,8
11/24/2019,1000 - 1100,13,42,384,174,34,0,0,0,0,19,611,4,13
11/24/2019,1100 - 1200,26,83,408,138,181,129,74,0,0,28,958,5,16
11/24/2019,1300 - 1400,12,42,189,50,11,0,0,0,0,8,258,2,11
11/24/2019,1400 - 1500,29,108,556,151,100,164,126,49,0,35,1181,6,17
11/24/2019,1500 - 1600,45,127,109,46,29,70,88,25,11,12,390,2,13
11/24/2019,1600 - 1700,47,106,222,67,86,110,282,54,0,23,844,4,16
11/24/2019,1700 - 1800,47,74,31,0,15,4,63,0,0,2,115,1,7
11/24/2019,1800 - 1900,11,29,313,122,0,0,0,0,0,13,448,3,12
11/24/2019,1900 - 2000,19,50,538,324,184,29,0,0,0,35,1110,5,17
11/24/2019,2000 - 2100,18,77,288,204,35,16,22,0,0,12,577,3,15
11/25/2019,0000 - 0100,8,20,95,9,0,0,0,0,0,5,109,1,7
11/25/2019,0800 - 0900,26,78,156,165,84,42,35,0,0,16,498,2,14
11/25/2019,0900 - 1000,30,58,60,19,18,55,0,0,0,3,155,1,15
11/25/2019,1000 - 1100,13,25,105,46,0,0,0,0,0,4,155,1,13
11/25/2019,1100 - 1200,16,37,212,126,33,0,0,0,0,11,382,3,21
11/25/2019,1200 - 1300,21,69,325,248,80,74,7,0,0,23,757,3,19
11/25/2019,1300 - 1400,17,39,105,77,30,0,0,0,0,7,219,2,20
11/25/2019,1400 - 1500,12,26,107,48,0,0,0,0,0,4,159,1,14
11/25/2019,1600 - 1700,17,43,310,159,77,0,0,0,0,13,559,2,20
11/25/2019,1700 - 1800,23,72,152,188,76,20,18,0,0,12,466,3,19
11/25/2019,1800 - 1900,22,63,336,440,118,70,9,0,0,29,1002,3,19
11/25/2019,1900 - 2000,17,50,195,134,55,3,0,0,0,13,400,3,15
11/25/2019,2000 - 2100,12,33,190,61,3,0,0,0,0,8,262,1,8
11/25/2019,2100 - 2200,12,23,58,19,0,0,0,0,0,2,79,1,7
11/25/2019,2300 - 0000,8,23,139,29,0,0,0,0,0,10,178,2,7
11/25/2019,0500 - 0600,29,88,155,180,126,85,28,0,0,20,594,3,12
11/25/2019,0600 - 0700,23,103,217,180,61,1,35,11,0,22,527,2,13
11/25/2019,0700 - 0800,18,90,311,184,31,19,31,0,0,19,595,3,17
11/25/2019,0800 - 0900,24,76,416,179,174,77,67,0,0,32,945,5,17
11/25/2019,0900 - 1000,22,54,65,51,41,20,0,0,0,7,184,1,14
11/25/2019,1000 - 1100,11,46,527,92,49,2,0,0,0,22,692,4,16
11/25/2019,1100 - 1200,17,61,171,58,39,23,1,0,0,10,302,2,14
11/25/2019,1200 - 1300,13,34,142,65,6,0,0,0,0,7,220,1,14
11/25/2019,1300 - 1400,12,25,131,70,0,0,0,0,0,5,206,1,15
11/25/2019,1400 - 1500,23,68,489,273,285,127,22,0,0,36,1232,7,19
11/25/2019,1500 - 1600,27,49,10,115,74,7,0,0,0,5,211,1,16
11/25/2019,1600 - 1700,15,55,321,119,68,11,0,0,0,17,536,3,13
11/25/2019,1700 - 1800,12,30,230,124,0,0,0,0,0,9,363,2,9
11/25/2019,1800 - 1900,23,61,265,148,117,84,5,0,0,18,637,3,11
11/25/2019,1900 - 2000,24,65,207,105,133,66,9,0,0,18,538,3,11
11/25/2019,2000 - 2100,8,21,153,16,0,0,0,0,0,5,174,1,10
11/25/2019,2100 - 2200,9,21,340,71,0,0,0,0,0,11,422,2,11
11/26/2019,0000 - 0100,7,18,91,11,0,0,0,0,0,7,109,1,7
11/26/2019,0800 - 0900,36,102,85,210,46,48,80,20,0,16,505,2,16
11/26/2019,0900 - 1000,22,65,104,21,12,31,9,0,0,5,182,1,10
11/26/2019,1000 - 1100,23,55,135,61,52,41,0,0,0,9,298,1,15
11/26/2019,1100 - 1200,15,50,222,127,29,4,0,0,0,16,398,3,17
11/26/2019,1200 - 1300,27,61,162,122,76,110,1,0,0,14,485,2,21
11/26/2019,1300 - 1400,21,71,452,254,109,97,19,0,0,24,955,4,22
11/26/2019,1500 - 1600,16,42,277,168,47,0,0,0,0,16,508,2,17
11/26/2019,1600 - 1700,17,46,252,146,45,5,0,0,0,15,463,2,16
11/26/2019,1700 - 1800,11,22,110,27,0,0,0,0,0,5,142,1,8
11/26/2019,1800 - 1900,14,45,300,169,28,0,0,0,0,14,511,3,10
11/26/2019,1900 - 2000,15,47,479,247,51,2,0,0,0,24,803,5,12
11/26/2019,2100 - 2200,12,29,239,93,0,0,0,0,0,14,346,2,7
11/26/2019,2200 - 2300,6,17,228,10,0,0,0,0,0,13,251,2,9
11/26/2019,2300 - 0000,9,25,97,21,0,0,0,0,0,4,122,1,6
11/26/2019,0500 - 0600,7,15,130,0,0,0,0,0,0,7,137,1,10
11/26/2019,0600 - 0700,11,32,571,180,1,0,0,0,0,25,777,3,9
11/26/2019,0700 - 0800,21,59,76,88,33,8,0,0,0,7,212,1,18
11/26/2019,0800 - 0900,13,54,939,249,107,41,0,0,0,34,1370,8,16
11/26/2019,1000 - 1100,25,80,245,162,36,48,57,0,0,14,562,3,19
11/26/2019,1100 - 1200,24,73,302,115,113,43,65,0,0,19,657,3,13
11/26/2019,1200 - 1300,13,30,139,79,0,0,0,0,0,4,222,1,11
11/26/2019,1300 - 1400,4,13,189,0,0,0,0,0,0,6,195,1,12
11/26/2019,1400 - 1500,19,55,229,89,53,53,0,0,0,12,436,2,15
11/26/2019,1500 - 1600,17,43,242,167,75,0,0,0,0,16,500,3,14
11/26/2019,1600 - 1700,15,34,237,203,37,0,0,0,0,21,498,2,16
11/26/2019,1700 - 1800,8,34,195,25,5,0,0,0,0,8,233,2,10
11/26/2019,1800 - 1900,16,47,235,124,50,6,0,0,0,12,427,2,11
11/26/2019,1900 - 2000,15,35,118,71,12,0,0,0,0,6,207,1,12
11/26/2019,2000 - 2100,16,57,373,240,40,30,0,0,0,21,704,4,11
11/27/2019,0000 - 0100,9,19,76,22,0,0,0,0,0,5,103,1,6
11/27/2019,0800 - 0900,20,49,104,107,41,4,0,0,0,8,264,1,11
11/27/2019,0900 - 1000,27,88,161,122,46,32,48,0,0,11,420,2,12
11/27/2019,1000 - 1100,29,60,54,27,27,40,0,0,0,2,150,1,12
11/27/2019,1100 - 1200,15,42,316,137,63,0,0,0,0,17,533,4,17
11/27/2019,1200 - 1300,32,102,436,335,162,119,238,18,0,40,1348,4,23
11/27/2019,1300 - 1400,22,58,119,8,42,48,0,0,0,6,223,1,15
11/27/2019,1400 - 1500,26,59,194,47,25,126,0,0,0,12,404,3,17
11/27/2019,1500 - 1600,17,37,129,108,23,0,0,0,0,7,267,1,15
11/27/2019,1700 - 1800,10,25,170,42,0,0,0,0,0,10,222,1,14
11/27/2019,1800 - 1900,15,53,425,242,77,5,0,0,0,30,779,4,14
11/27/2019,1900 - 2000,11,32,411,148,7,0,0,0,0,26,592,3,13
11/27/2019,2000 - 2100,7,25,293,23,0,0,0,0,0,10,326,2,10
11/27/2019,2100 - 2200,13,45,273,96,50,0,0,0,0,20,439,2,9
11/27/2019,2200 - 2300,7,22,181,21,0,0,0,0,0,13,215,2,9
11/27/2019,2300 - 0000,9,22,86,25,0,0,0,0,0,6,117,1,9
11/27/2019,0500 - 0600,25,54,74,129,100,20,0,0,0,11,334,2,11
11/27/2019,0600 - 0700,24,117,407,326,146,45,57,12,0,36,1029,4,15
11/27/2019,0700 - 0800,11,28,217,93,0,0,0,0,0,11,321,2,16
11/27/2019,0800 - 0900,13,42,650,251,46,0,0,0,0,28,975,5,21
11/27/2019,0900 - 1000,7,24,469,26,0,0,0,0,0,18,513,3,18
11/27/2019,1000 - 1100,20,72,278,292,49,36,10,0,0,19,684,3,13
11/27/2019,1100 - 1200,30,94,236,76,111,83,69,11,0,18,604,3,14
11/27/2019,1200 - 1300,17,71,194,150,40,6,10,0,0,13,413,2,13
11/27/2019,1300 - 1400,15,35,81,45,5,0,0,0,0,5,136,1,11
11/27/2019,1400 - 1500,17,70,414,162,29,54,15,0,0,22,696,4,12
11/27/2019,1500 - 1600,31,72,123,84,144,81,37,0,0,16,485,2,17
11/27/2019,1600 - 1700,31,93,314,201,124,167,125,3,0,35,969,5,12
11/27/2019,1700 - 1800,14,31,77,60,4,0,0,0,0,5,146,1,9
11/27/2019,1800 - 1900,15,32,112,104,8,0,0,0,0,7,231,1,10
11/27/2019,1900 - 2000,24,60,276,188,214,57,0,0,0,22,757,3,11
11/27/2019,2000 - 2100,22,77,313,197,77,30,61,0,0,39,717,3,13
11/27/2019,2100 - 2200,6,27,113,19,0,0,0,0,0,8,140,1,9
11/28/2019,0900 - 1000,34,135,375,180,63,77,156,43,21,32,947,4,17
11/28/2019,1000 - 1100,38,130,201,73,58,38,55,45,23,15,508,2,20
11/28/2019,1100 - 1200,30,81,56,20,18,0,27,0,0,4,125,1,15
11/28/2019,1200 - 1300,41,147,500,263,97,112,201,128,73,45,1419,6,21
11/28/2019,1300 - 1400,61,142,72,113,28,75,63,29,102,14,496,1,21
11/28/2019,1400 - 1500,41,108,206,52,6,38,65,89,0,13,469,2,17
11/28/2019,1500 - 1600,17,41,176,70,35,0,0,0,0,8,289,1,15
11/28/2019,1600 - 1700,13,34,111,29,3,0,0,0,0,4,147,1,8
11/28/2019,1700 - 1800,20,57,240,266,82,29,0,0,0,20,637,3,11
11/28/2019,1800 - 1900,19,81,308,198,90,17,20,0,0,25,658,3,11
11/28/2019,1900 - 2000,17,79,186,60,20,16,7,0,0,14,303,2,11
11/28/2019,2100 - 2200,15,51,229,137,32,7,0,0,0,22,427,2,8
11/28/2019,2300 - 0000,10,32,137,47,2,0,0,0,0,11,197,2,8
11/28/2019,0500 - 0600,29,43,0,118,74,0,0,0,0,6,198,1,11
11/28/2019,0600 - 0700,32,96,506,311,174,314,181,5,0,50,1541,6,19
11/28/2019,0700 - 0800,20,54,121,39,33,23,0,0,0,6,222,1,21
11/28/2019,0800 - 0900,23,65,322,508,130,98,17,0,0,32,1107,5,20
11/28/2019,0900 - 1000,26,50,140,83,149,59,0,0,0,9,440,2,17
11/28/2019,1100 - 1200,17,47,427,301,125,7,0,0,0,28,888,4,19
11/28/2019,1200 - 1300,19,46,215,110,110,4,0,0,0,10,449,2,18
11/28/2019,1300 - 1400,12,33,197,80,6,0,0,0,0,7,290,1,15
11/28/2019,1400 - 1500,30,106,392,225,119,57,110,62,0,29,994,4,15
11/28/2019,1500 - 1600,52,119,142,68,39,55,90,138,0,18,550,3,12
11/28/2019,1600 - 1700,66,156,155,87,95,60,99,174,128,15,813,4,13
11/28/2019,1700 - 1800,33,113,135,90,1,1,37,39,0,5,308,1,12
11/28/2019,1800 - 1900,44,117,196,78,31,69,234,34,0,24,666,3,15
11/28/2019,1900 - 2000,30,67,42,87,40,35,18,0,0,6,228,1,15
11/28/2019,2000 - 2100,15,38,187,189,20,0,0,0,0,22,418,2,14
11/29/2019,0800 - 0900,31,98,110,65,25,26,40,8,0,9,283,1,14
11/29/2019,0900 - 1000,36,102,250,56,25,45,92,57,0,22,547,2,15
11/29/2019,1000 - 1100,16,41,103,58,14,0,0,0,0,6,181,1,10
11/29/2019,1100 - 1200,14,37,229,123,11,0,0,0,0,12,375,2,16
11/29/2019,1200 - 1300,26,76,315,415,146,103,78,0,0,34,1091,4,23
11/29/2019,1300 - 1400,28,74,198,258,136,91,59,0,0,24,766,2,23
11/29/2019,1400 - 1500,14,33,309,199,13,0,0,0,0,16,537,2,19
11/29/2019,1500 - 1600,21,36,39,215,17,0,0,0,0,7,278,1,16
11/29/2019,1600 - 1700,19,38,80,130,24,0,0,0,0,7,241,1,14
11/29/2019,1700 - 1800,26,98,352,536,190,64,66,11,0,35,1254,5,12
11/29/2019,1800 - 1900,30,104,261,251,236,62,57,22,0,28,917,4,15
11/29/2019,1900 - 2000,21,89,147,103,6,14,16,0,0,9,295,2,14
11/29/2019,2000 - 2100,17,40,124,139,16,0,0,0,0,8,287,1,9
11/29/2019,2200 - 2300,6,13,123,0,0,0,0,0,0,7,130,1,7
11/29/2019,2300 - 0000,7,19,130,10,0,0,0,0,0,7,147,1,8
11/29/2019,0500 - 0600,8,34,165,26,3,0,0,0,0,10,204,1,9
11/29/2019,0600 - 0700,29,109,413,315,164,138,110,24,0,37,1201,4,17
11/29/2019,0700 - 0800,35,125,237,115,6,8,41,73,13,14,507,2,16
11/29/2019,0800 - 0900,30,126,529,420,329,82,10,126,5,46,1547,6,18
11/29/2019,0900 - 1000,31,105,119,127,27,0,38,30,0,15,356,2,16
11/29/2019,1000 - 1100,20,51,459,440,201,27,0,0,0,32,1159,5,19
11/29/2019,1100 - 1200,23,67,116,136,40,19,16,0,0,11,338,1,13
11/29/2019,1200 - 1300,19,59,210,122,76,22,0,0,0,10,440,2,13
11/29/2019,1300 - 1400,11,31,201,96,4,0,0,0,0,10,311,1,13
11/29/2019,1400 - 1500,24,116,391,309,127,50,47,17,0,31,972,4,17
11/29/2019,1500 - 1600,31,99,323,331,274,43,142,24,0,33,1170,4,19
11/29/2019,1600 - 1700,15,41,107,138,12,0,0,0,0,6,263,2,14
11/29/2019,1700 - 1800,18,51,314,199,95,9,0,0,0,18,635,3,21
11/29/2019,1800 - 1900,12,29,633,348,0,0,0,0,0,34,1015,4,16
11/29/2019,1900 - 2000,17,44,354,265,80,0,0,0,0,19,718,2,19
11/29/2019,2000 - 2100,17,49,435,246,116,16,0,0,0,25,838,3,18
11/29/2019,2100 - 2200,8,17,171,3,0,0,0,0,0,6,180,1,16
11/30/2019,0000 - 0100,13,20,78,35,0,0,0,0,0,2,115,1,9
11/30/2019,0900 - 1000,18,57,485,96,66,90,0,0,0,27,764,3,16
11/30/2019,1000 - 1100,18,55,143,117,25,15,0,0,0,10,310,1,15
11/30/2019,1100 - 1200,18,58,425,288,91,48,0,0,0,22,874,4,17
11/30/2019,1200 - 1300,16,43,521,335,104,0,0,0,0,23,983,4,19
11/30/2019,1300 - 1400,30,99,478,378,111,84,200,32,0,39,1322,4,17
11/30/2019,1400 - 1500,21,72,262,22,18,41,40,0,0,13,396,2,17
11/30/2019,1500 - 1600,18,42,154,54,64,0,0,0,0,6,278,1,17
11/30/2019,1700 - 1800,14,33,417,278,9,0,0,0,0,13,717,3,17
11/30/2019,1800 - 1900,21,52,390,278,233,38,0,0,0,25,964,3,16
11/30/2019,1900 - 2000,13,43,717,310,19,0,0,0,0,34,1080,5,13
11/30/2019,2000 - 2100,5,11,148,0,0,0,0,0,0,3,151,1,7
11/30/2019,2100 - 2200,13,34,182,93,10,0,0,0,0,9,294,1,8
11/30/2019,2200 - 2300,8,40,525,41,22,0,0,0,0,35,623,4,7
11/30/2019,2300 - 0000,9,36,252,19,14,0,0,0,0,13,298,2,7
11/30/2019,0500 - 0600,30,61,61,118,238,27,1,0,0,14,459,2,10
11/30/2019,0600 - 0700,22,64,332,318,157,57,9,0,0,27,900,3,12
11/30/2019,0800 - 0900,22,71,470,219,151,114,11,0,0,31,996,4,16
11/30/2019,0900 - 1000,26,77,477,233,259,165,72,0,0,38,1244,5,18
11/30/2019,1000 - 1100,17,43,332,258,89,0,0,0,0,21,700,3,14
11/30/2019,1100 - 1200,13,27,321,180,0,0,0,0,0,16,517,3,11
11/30/2019,1200 - 1300,11,26,336,125,0,0,0,0,0,13,474,2,14
11/30/2019,1300 - 1400,12,43,583,198,23,0,0,0,0,25,829,3,15
11/30/2019,1400 - 1500,29,63,401,283,245,291,38,0,0,24,1282,5,20
11/30/2019,1500 - 1600,19,62,361,330,125,18,5,0,0,25,864,3,16
11/30/2019,1600 - 1700,16,57,480,260,66,19,0,0,0,17,842,4,19
11/30/2019,1700 - 1800,11,28,470,195,0,0,0,0,0,16,681,3,19
11/30/2019,1800 - 1900,10,36,817,170,16,0,0,0,0,28,1031,4,22
11/30/2019,1900 - 2000,11,25,442,159,0,0,0,0,0,17,618,2,20
11/30/2019,2000 - 2100,12,29,725,282,0,0,0,0,0,25,1032,3,19
11/30/2019,2100 - 2200,9,19,156,19,0,0,0,0,0,3,178,1,9
11/30/2019,2200 - 2300,1,2,5,0,0,0,0,0,0,2,7,1,0
11/30/2019,2300 - 0000,3,9,19,0,0,0,0,0,0,4,23,2,0
12/1/2019,0900 - 1000,14,36,368,191,39,0,0,0,0,15,613,2,18
12/1/2019,1000 - 1100,14,35,364,187,28,0,0,0,0,22,601,3,15
12/1/2019,1100 - 1200,16,53,350,116,65,20,0,0,0,18,569,2,16
12/1/2019,1200 - 1300,17,58,523,240,119,57,0,0,0,40,979,3,16
12/1/2019,1300 - 1400,26,61,235,284,200,111,5,0,0,23,858,3,18
12/1/2019,1400 - 1500,10,36,218,41,14,0,0,0,0,9,282,2,16
12/1/2019,1500 - 1600,13,30,361,156,0,0,0,0,0,15,532,2,13
12/1/2019,1700 - 1800,22,47,148,621,110,3,0,0,0,25,907,3,18
12/1/2019,1800 - 1900,15,41,498,381,52,0,0,0,0,34,965,5,16
12/1/2019,1900 - 2000,11,27,616,184,0,0,0,0,0,19,819,3,17
12/1/2019,2000 - 2100,8,19,138,5,0,0,0,0,0,4,147,1,11
12/1/2019,2100 - 2200,11,27,529,152,0,0,0,0,0,22,703,3,11
12/1/2019,2200 - 2300,9,24,321,80,0,0,0,0,0,16,417,2,8
12/1/2019,2300 - 0000,8,23,354,44,0,0,0,0,0,20,418,3,8
12/1/2019,0600 - 0700,18,60,611,226,199,64,0,0,0,34,1134,4,12
12/1/2019,0700 - 0800,67,218,285,24,1,0,0,185,126,33,654,1,18
12/1/2019,0800 - 0900,28,137,709,277,261,63,54,79,30,49,1522,6,20
12/1/2019,0900 - 1000,40,157,294,29,123,8,0,69,61,25,609,2,16
12/1/2019,1000 - 1100,37,150,171,104,96,0,0,15,58,28,472,2,16
12/1/2019,1100 - 1200,30,129,299,210,135,47,1,50,26,22,790,3,14
12/1/2019,1200 - 1300,20,89,303,64,64,5,39,0,0,15,490,2,13
12/1/2019,1300 - 1400,20,81,350,145,39,33,53,0,0,18,638,3,15
12/1/2019,1400 - 1500,27,85,392,151,123,80,116,0,0,22,884,4,24
12/1/2019,1500 - 1600,12,34,800,319,18,0,0,0,0,39,1176,4,27
12/1/2019,1600 - 1700,8,24,645,84,0,0,0,0,0,21,750,4,23
12/1/2019,1700 - 1800,15,44,632,300,127,0,0,0,0,30,1089,4,20
12/1/2019,1800 - 1900,17,43,338,179,98,0,0,0,0,18,633,3,21
12/1/2019,1900 - 2000,9,21,352,36,0,0,0,0,0,10,398,2,22
12/1/2019,2000 - 2100,19,53,639,619,224,52,0,0,0,48,1582,5,21
12/1/2019,2200 - 2300,5,11,15,0,0,0,0,0,0,1,16,1,0
12/1/2019,2300 - 0000,3,6,9,0,0,0,0,0,0,2,11,1,0
12/2/2019,0900 - 1000,23,73,472,134,78,100,68,0,0,32,884,3,16
12/2/2019,1000 - 1100,13,26,113,65,0,0,0,0,0,5,183,1,15
12/2/2019,1100 - 1200,6,17,105,4,0,0,0,0,0,5,114,1,9
12/2/2019,1200 - 1300,22,63,601,532,178,123,21,0,0,43,1498,5,23
12/2/2019,1400 - 1500,16,46,800,428,155,2,0,0,0,37,1422,6,24
12/2/2019,1500 - 1600,16,32,156,110,11,0,0,0,0,5,282,1,15
12/2/2019,1700 - 1800,18,41,360,432,102,0,0,0,0,27,921,3,19
12/2/2019,1800 - 1900,20,44,322,432,135,0,0,0,0,27,916,4,17
12/2/2019,1900 - 2000,13,34,454,245,15,0,0,0,0,22,736,3,18
12/2/2019,2100 - 2200,9,29,463,99,0,0,0,0,0,32,594,3,9
12/2/2019,2200 - 2300,7,19,119,12,0,0,0,0,0,8,139,1,8
12/2/2019,2300 - 0000,7,20,114,13,0,0,0,0,0,6,133,1,9
12/2/2019,0500 - 0600,8,28,188,32,0,0,0,0,0,7,227,1,11
12/2/2019,0600 - 0700,20,82,569,356,128,83,36,0,0,38,1210,4,18
12/2/2019,0700 - 0800,28,97,175,160,74,37,61,6,0,20,533,2,19
12/2/2019,0800 - 0900,28,104,545,305,168,1,179,31,0,41,1270,5,17
12/2/2019,0900 - 1000,19,91,456,226,53,55,43,2,0,31,866,3,17
12/2/2019,1000 - 1100,24,54,113,86,88,27,0,0,0,11,325,2,18
12/2/2019,1100 - 1200,23,71,499,308,336,72,18,0,0,37,1270,5,17
12/2/2019,1200 - 1300,38,63,0,70,129,48,16,0,0,5,268,1,16
12/2/2019,1300 - 1400,12,33,360,160,13,0,0,0,0,17,550,2,14
12/2/2019,1400 - 1500,22,70,450,234,211,44,34,0,0,31,1004,4,15
12/2/2019,1500 - 1600,25,92,436,316,234,53,88,4,0,34,1165,4,17
12/2/2019,1600 - 1700,23,83,216,121,88,2,40,0,0,13,480,2,13
12/2/2019,1700 - 1800,29,89,171,117,198,41,45,0,0,19,591,3,12
12/2/2019,1800 - 1900,27,124,388,197,288,61,21,41,6,51,1053,4,13
12/2/2019,1900 - 2000,21,110,619,497,61,45,73,26,0,47,1368,4,16
12/2/2019,2100 - 2200,7,24,208,30,0,0,0,0,0,14,252,1,11
12/2/2019,2200 - 2300,9,20,141,29,0,0,0,0,0,10,180,1,9
12/3/2019,0000 - 0100,5,13,93,0,0,0,0,0,0,2,95,1,9
12/3/2019,0800 - 0900,48,114,0,79,114,46,67,16,0,10,332,1,13
12/3/2019,0900 - 1000,44,132,111,182,22,59,73,69,16,16,548,2,14
12/3/2019,1000 - 1100,40,106,70,126,16,11,29,54,0,10,316,1,19
12/3/2019,1100 - 1200,17,55,160,42,17,30,0,0,0,12,261,2,16
12/3/2019,1200 - 1300,31,96,513,462,184,174,191,25,0,46,1595,5,23
12/3/2019,1300 - 1400,18,60,304,92,57,48,0,0,0,15,516,2,19
12/3/2019,1400 - 1500,19,54,153,125,31,17,0,0,0,10,336,2,18
12/3/2019,1500 - 1600,18,48,282,123,87,11,0,0,0,14,517,2,18
12/3/2019,1600 - 1700,16,38,296,231,32,0,0,0,0,17,576,2,20
12/3/2019,1700 - 1800,20,30,18,124,0,0,0,0,0,5,147,1,9
12/3/2019,1800 - 1900,13,35,395,195,8,0,0,0,0,16,614,4,12
12/3/2019,1900 - 2000,20,83,391,321,65,28,48,0,0,26,879,3,10
12/3/2019,2100 - 2200,12,55,294,81,35,8,0,0,0,24,442,2,7
12/3/2019,2300 - 0000,11,28,122,94,0,0,0,0,0,12,228,2,8
12/3/2019,0500 - 0600,14,24,125,81,0,0,0,0,0,3,209,1,10
12/3/2019,0600 - 0700,26,65,296,310,216,133,20,0,0,28,1003,3,14
12/3/2019,0700 - 0800,18,46,230,176,76,1,0,0,0,15,498,2,14
12/3/2019,0800 - 0900,35,112,459,311,285,258,224,51,0,48,1636,7,17
12/3/2019,1000 - 1100,22,67,294,148,75,102,13,0,0,25,657,3,15
12/3/2019,1100 - 1200,29,98,258,255,80,76,83,12,0,25,789,4,17
12/3/2019,1200 - 1300,11,29,184,83,0,0,0,0,0,5,272,2,16
12/3/2019,1300 - 1400,26,63,243,145,184,112,3,0,0,21,708,3,17
12/3/2019,1400 - 1500,29,75,347,103,286,210,34,0,0,28,1008,5,19
12/3/2019,1500 - 1600,15,48,294,179,29,10,0,0,0,16,528,2,16
12/3/2019,1600 - 1700,18,53,378,414,81,12,0,0,0,29,914,4,15
12/3/2019,1800 - 1900,15,38,267,212,20,0,0,0,0,15,514,2,14
12/3/2019,1900 - 2000,21,55,289,276,144,23,0,0,0,24,756,2,13
12/3/2019,2000 - 2100,25,60,238,341,175,116,0,0,0,28,898,4,14
12/4/2019,0800 - 0900,33,71,0,165,75,30,22,0,0,9,301,1,13
12/4/2019,0900 - 1000,27,67,217,86,79,108,25,0,0,20,535,2,15
12/4/2019,1000 - 1100,19,44,70,37,34,0,0,0,0,5,146,1,14
12/4/2019,1100 - 1200,12,38,184,62,14,0,0,0,0,10,270,2,13
12/4/2019,1200 - 1300,28,83,342,276,90,98,129,0,0,28,963,4,16
12/4/2019,1300 - 1400,38,106,296,252,41,51,185,83,0,28,936,3,18
12/4/2019,1400 - 1500,23,72,290,101,37,72,37,0,0,16,553,2,18
12/4/2019,1700 - 1800,16,54,307,248,18,14,0,0,0,18,605,3,14
12/4/2019,1800 - 1900,32,90,236,533,322,191,120,0,0,50,1452,5,19
12/4/2019,1900 - 2000,37,88,48,84,80,46,54,0,0,9,321,2,15
12/4/2019,2000 - 2100,17,46,150,92,33,2,0,0,0,9,286,1,6
12/4/2019,2100 - 2200,15,29,84,78,0,0,0,0,0,4,166,1,5
12/4/2019,2200 - 2300,9,29,116,24,0,0,0,0,0,6,146,1,6
12/4/2019,2300 - 0000,9,22,101,25,0,0,0,0,0,5,131,1,6
12/4/2019,0500 - 0600,31,83,43,81,33,23,22,0,0,6,208,1,14
12/4/2019,0600 - 0700,24,73,462,285,216,60,75,0,0,42,1140,4,15
12/4/2019,0700 - 0800,28,81,234,146,97,126,52,0,0,22,677,3,17
12/4/2019,0800 - 0900,33,89,443,102,123,345,140,0,0,36,1189,5,21
12/4/2019,0900 - 1000,31,93,123,35,50,80,25,3,0,10,326,2,18
