date,hour,Average Wait Time,Max WaitTime
10/8/2019,1700 - 1800,31,62
10/8/2019,1800 - 1900,23,47
10/8/2019,1900 - 2000,23,55
10/8/2019,2000 - 2100,21,47
10/8/2019,2100 - 2200,10,22
10/8/2019,2200 - 2300,11,26
10/8/2019,0500 - 0600,17,64
10/8/2019,0600 - 0700,28,82
10/8/2019,0700 - 0800,14,31
10/8/2019,0800 - 0900,11,30
10/8/2019,0900 - 1000,14,35
10/8/2019,1000 - 1100,15,34
10/8/2019,1100 - 1200,24,62
10/8/2019,1200 - 1300,23,50
10/8/2019,1300 - 1400,11,21
10/8/2019,1400 - 1500,19,38
10/8/2019,1500 - 1600,16,46
10/8/2019,1600 - 1700,26,67
10/8/2019,1900 - 2000,33,121
10/8/2019,2000 - 2100,43,108
10/8/2019,2100 - 2200,33,81
10/9/2019,0000 - 0100,18,38
10/9/2019,0900 - 1000,13,29
10/9/2019,1000 - 1100,25,53
10/9/2019,1100 - 1200,38,84
10/9/2019,1200 - 1300,46,92
10/9/2019,1300 - 1400,29,59
10/9/2019,1400 - 1500,45,86
10/9/2019,1500 - 1600,27,39
10/9/2019,1600 - 1700,23,58
10/9/2019,1700 - 1800,40,61
10/9/2019,1800 - 1900,19,57
10/9/2019,1900 - 2000,41,118
10/9/2019,2000 - 2100,45,93
10/9/2019,2100 - 2200,17,40
10/9/2019,2300 - 0000,9,21
10/9/2019,0600 - 0700,19,69
10/9/2019,0700 - 0800,18,52
10/9/2019,0800 - 0900,8,19
10/9/2019,0900 - 1000,12,41
10/9/2019,1000 - 1100,24,87
10/9/2019,1100 - 1200,34,81
10/9/2019,1200 - 1300,31,70
10/9/2019,1300 - 1400,11,24
10/9/2019,1400 - 1500,16,47
10/9/2019,1500 - 1600,25,81
10/9/2019,1600 - 1700,23,63
10/9/2019,1700 - 1800,30,67
10/9/2019,1800 - 1900,16,39
10/9/2019,1900 - 2000,13,32
10/9/2019,2000 - 2100,34,94
10/9/2019,2100 - 2200,35,71
10/10/2019,0000 - 0100,14,43
10/10/2019,0900 - 1000,18,39
10/10/2019,1000 - 1100,23,50
10/10/2019,1100 - 1200,25,61
10/10/2019,1200 - 1300,48,97
10/10/2019,1300 - 1400,45,85
10/10/2019,1400 - 1500,55,109
10/10/2019,1600 - 1700,30,51
10/10/2019,1700 - 1800,35,68
10/10/2019,1800 - 1900,46,84
10/10/2019,1900 - 2000,33,74
10/10/2019,2000 - 2100,23,65
10/10/2019,2100 - 2200,20,50
10/10/2019,2200 - 2300,8,25
10/10/2019,0500 - 0600,41,99
10/10/2019,0600 - 0700,54,128
10/10/2019,0700 - 0800,46,114
10/10/2019,0800 - 0900,32,96
10/10/2019,0900 - 1000,22,62
10/10/2019,1000 - 1100,33,139
10/10/2019,1100 - 1200,53,148
10/10/2019,1200 - 1300,45,125
10/10/2019,1300 - 1400,33,68
10/10/2019,1400 - 1500,35,86
10/10/2019,1500 - 1600,25,52
10/10/2019,1600 - 1700,35,94
10/10/2019,1700 - 1800,16,55
10/10/2019,1800 - 1900,21,39
10/10/2019,1900 - 2000,9,21
10/10/2019,2000 - 2100,22,65
10/10/2019,2100 - 2200,19,36
10/11/2019,0000 - 0100,19,32
