date,hour,Average Wait Time,Max Wait Time,time
10/7/2019,1600 - 1700,9,40,112
10/7/2019,1700 - 1800,12,27,113
10/7/2019,1800 - 1900,12,25,114
10/7/2019,1900 - 2000,14,36,115
10/7/2019,2000 - 2100,20,53,116
10/7/2019,2100 - 2200,17,30,117
10/8/2019,0000 - 0100,4,13,120
10/8/2019,0100 - 0200,7,17,121
10/8/2019,0800 - 0900,9,23,128
10/8/2019,0900 - 1000,2,9,129
10/8/2019,1000 - 1100,8,25,130
10/8/2019,1100 - 1200,14,43,131
10/8/2019,1200 - 1300,11,27,132
10/8/2019,1300 - 1400,14,72,133
10/8/2019,1400 - 1500,12,65,134
10/8/2019,1600 - 1700,14,40,136
10/8/2019,1700 - 1800,24,62,137
10/8/2019,1800 - 1900,12,32,138
10/8/2019,1900 - 2000,19,55,139
10/8/2019,2000 - 2100,12,39,140
10/8/2019,2100 - 2200,5,14,141
10/8/2019,2200 - 2300,4,19,142
10/8/2019,0500 - 0600,15,32,125
10/8/2019,0600 - 0700,15,32,126
10/8/2019,0700 - 0800,11,18,127
10/8/2019,0800 - 0900,8,22,128
10/8/2019,0900 - 1000,9,26,129
10/8/2019,1000 - 1100,10,34,130
10/8/2019,1100 - 1200,14,50,131
10/8/2019,1200 - 1300,15,38,132
10/8/2019,1300 - 1400,7,21,133
10/8/2019,1400 - 1500,7,27,134
10/8/2019,1500 - 1600,10,38,135
10/8/2019,1600 - 1700,16,56,136
10/8/2019,1900 - 2000,26,76,139
10/8/2019,2000 - 2100,33,58,140
10/8/2019,2100 - 2200,25,50,141
10/9/2019,0000 - 0100,7,34,144
10/9/2019,0900 - 1000,7,19,153
10/9/2019,1000 - 1100,15,38,154
10/9/2019,1100 - 1200,17,78,155
10/9/2019,1200 - 1300,13,61,156
10/9/2019,1300 - 1400,12,55,157
10/9/2019,1400 - 1500,14,63,158
10/9/2019,1500 - 1600,13,33,159
10/9/2019,1600 - 1700,7,32,160
10/9/2019,1700 - 1800,11,27,161
10/9/2019,1800 - 1900,18,44,162
10/9/2019,1900 - 2000,24,70,163
10/9/2019,2000 - 2100,14,38,164
10/9/2019,2100 - 2200,7,22,165
10/9/2019,2300 - 0000,4,11,167
10/9/2019,0600 - 0700,9,59,150
10/9/2019,0700 - 0800,11,29,151
10/9/2019,0800 - 0900,7,19,152
10/9/2019,0900 - 1000,11,31,153
10/9/2019,1000 - 1100,12,34,154
10/9/2019,1100 - 1200,27,81,155
10/9/2019,1200 - 1300,24,57,156
